,City,Median_Household_Income,Percent_Male,Percent_Female,Percent_over_25y,Percent_HS_less,Percent_HS,Percent_Some_Col_Assoc,Percent_BS_over,Percent_unemployed,Population,Population_Below_Poverty,Poverty_Rate,Percent_Owner_Occ,Percent_Renter_Occ,Median_Rent
0,Abbott ,94688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273,0,0.0,90.8,9.2,-
1,Abernathy ,80114,4.2,8.2,6.6,11.3,6.2,3.9,3.9,0.0,3256,30,0.9213759213759214,77.0,23.0,709
2,Abilene ,59254,14.1,17.6,12.3,31.2,16.7,9.3,9.3,20.6,114403,8228,7.19211908778616,54.0,46.0,1060
3,Ackerly ,63750,6.5,14.9,7.7,3.8,15.0,10.0,10.0,0.0,387,0,0.0,68.2,31.8,-
4,Addison ,78153,7.9,8.8,6.6,14.6,9.9,6.6,6.6,43.5,16985,695,4.091845746246689,17.3,82.7,1620
5,Adrian ,162841,2.4,16.3,10.9,5.7,3.2,50.0,50.0,-,171,0,0.0,55.1,44.9,-
6,Agua Dulce ,53173,7.0,7.2,7.5,14.7,5.7,12.0,12.0,0.0,436,10,2.293577981651376,82.8,17.2,-
7,Alamo ,47398,20.7,27.3,22.4,35.1,21.6,13.1,13.1,36.5,19792,1755,8.867219078415522,71.2,28.8,655
8,Alamo Heights ,149332,3.4,3.4,3.9,0.0,8.1,10.8,10.8,0.0,7326,154,2.1021021021021022,73.6,26.4,1390
9,Alba ,45313,19.2,4.9,14.5,43.1,6.0,2.6,2.6,0.0,538,38,7.063197026022305,84.3,15.7,561
10,Albany ,48182,12.1,20.5,8.8,28.1,6.8,7.0,7.0,34.3,1623,204,12.56931608133087,75.4,24.6,478
11,Aledo ,123045,1.2,3.3,3.5,0.0,2.8,11.5,11.5,0.0,5047,95,1.8823063205864872,88.9,11.1,2326
12,Alice ,43017,19.5,35.0,19.7,35.3,16.9,14.4,14.4,50.6,17609,2596,14.742461241410643,55.1,44.9,860
13,Allen ,121259,3.4,6.9,4.7,16.1,10.2,6.0,6.0,19.5,104918,3075,2.930860290893841,70.9,29.1,1747
14,Alma ,83333,1.2,8.0,1.6,6.4,2.2,0.0,0.0,0.0,469,6,1.279317697228145,90.7,9.3,794
15,Alpine ,46619,19.2,21.4,18.1,27.1,24.2,10.3,10.3,92.4,5798,581,10.02069679199724,58.4,41.6,780
16,Alto ,37955,29.6,36.8,23.4,24.8,16.8,30.9,30.9,64.3,1055,201,19.0521327014218,39.6,60.4,567
17,Alton ,44317,26.2,30.0,22.8,30.0,27.2,13.9,13.9,38.0,18475,2296,12.427604871447903,61.0,39.0,891
18,Alvarado ,86083,5.1,10.7,8.8,10.3,10.2,5.4,5.4,100.0,4916,193,3.925956061838894,62.7,37.3,992
19,Alvin ,68266,8.8,11.9,9.7,20.6,11.6,7.6,7.6,10.4,27196,1269,4.666127371672305,57.0,43.0,1165
20,Alvord ,68516,6.9,14.6,8.0,12.5,8.0,5.9,5.9,60.0,1124,50,4.448398576512456,68.4,31.6,978
21,Amarillo ,60628,14.2,16.9,12.4,25.2,15.8,10.5,10.5,25.5,198231,12478,6.294676412871851,59.6,40.4,997
22,Ames ,32750,48.5,49.5,35.5,72.6,31.3,23.2,23.2,35.1,979,265,27.068437180796735,68.2,31.8,810
23,Amherst ,52067,29.5,60.0,42.7,44.9,58.3,11.9,11.9,0.0,982,340,34.623217922606926,77.7,22.3,593
24,Anahuac ,69742,11.0,23.4,11.8,11.3,10.4,15.7,15.7,46.2,2288,381,16.6520979020979,72.3,27.7,1295
25,Anderson ,41806,22.0,20.9,26.3,57.1,35.0,20.5,20.5,0.0,279,9,3.225806451612903,82.8,17.2,-
26,Andrews ,86806,12.3,14.3,11.9,26.8,10.5,9.6,9.6,19.6,13210,1207,9.137017411052232,69.8,30.2,1415
27,Angleton ,77235,10.0,13.8,7.5,13.7,10.2,4.2,4.2,16.4,19300,1209,6.2642487046632125,64.5,35.5,1090
28,Angus ,53269,17.8,27.7,14.0,8.8,8.3,31.9,31.9,0.0,414,67,16.183574879227052,75.7,24.3,1450
29,Anna ,93785,11.0,6.9,8.4,29.8,20.4,2.3,2.3,0.0,18585,1359,7.312348668280872,80.1,19.9,1888
30,Annetta ,160893,2.2,0.6,1.3,0.0,0.0,2.9,2.9,16.8,3075,43,1.3983739837398375,98.4,1.6,-
31,Annetta North ,157500,1.7,2.7,3.2,0.0,5.4,1.3,1.3,0.0,565,6,1.0619469026548671,90.1,9.9,1393
32,Annetta South ,131667,0.7,0.8,1.1,0.0,0.0,3.7,3.7,0.0,773,6,0.7761966364812419,98.0,2.0,-
33,Annona ,36250,35.4,44.6,26.2,53.8,12.0,54.3,54.3,-,244,86,35.24590163934426,84.6,15.4,569
34,Anson ,43576,14.0,18.2,13.4,0.0,17.5,19.2,19.2,0.0,1855,113,6.091644204851752,75.9,24.1,917
35,Anthony ,48934,14.9,23.5,15.4,24.3,23.0,6.6,6.6,35.7,3811,315,8.265547100498557,74.5,25.5,983
36,Anton ,47639,16.6,23.0,14.0,10.4,12.2,20.3,20.3,14.8,1083,115,10.61865189289012,80.7,19.3,692
37,Appleby ,72130,4.5,6.4,6.6,0.0,14.3,2.9,2.9,25.0,490,18,3.6734693877551026,81.6,18.4,875
38,Aquilla ,53750,0.0,16.7,12.5,-,0.0,30.4,30.4,-,95,7,7.368421052631578,75.0,25.0,-
39,Aransas Pass ,59403,13.0,15.3,13.8,31.4,9.9,14.4,14.4,22.6,8598,717,8.339148639218424,63.1,36.9,1142
40,Archer City ,40714,25.3,24.0,15.9,38.7,10.6,26.2,26.2,-,1489,237,15.916722632639354,70.9,29.1,499
41,Arcola ,74268,9.4,10.5,12.3,19.1,7.3,18.2,18.2,43.4,2604,134,5.145929339477727,67.0,33.0,1155
42,Argyle ,205246,0.0,0.5,0.3,0.0,0.0,1.9,1.9,0.0,4638,0,0.0,86.7,13.3,2520
43,Arlington ,71736,12.0,13.9,9.9,20.1,11.5,8.3,8.3,21.7,387159,21514,5.556890063255665,54.9,45.1,1297
44,Arp ,63472,5.1,8.3,5.9,18.5,4.1,3.6,3.6,0.0,1367,53,3.8771031455742504,72.3,27.7,1125
45,Asherton ,24063,13.6,38.8,29.5,49.8,16.7,13.0,13.0,22.2,645,44,6.821705426356589,74.3,25.7,556
46,Aspermont ,78750,6.1,5.5,7.2,26.1,5.4,0.0,0.0,0.0,1015,5,0.49261083743842365,79.2,20.8,757
47,Athens ,54828,18.9,15.2,11.9,34.2,9.8,9.3,9.3,35.4,11787,587,4.9800627810299485,55.7,44.3,1063
48,Atlanta ,62215,25.0,25.9,18.5,54.0,23.0,11.1,11.1,25.8,5279,476,9.016859253646524,65.5,34.5,909
49,Aubrey ,93071,4.2,21.1,8.8,30.3,18.8,7.3,7.3,44.0,5896,430,7.293080054274085,76.4,23.6,1275
50,Aurora ,85000,7.5,9.9,7.1,27.8,7.5,3.4,3.4,15.7,1538,105,6.827048114434331,85.2,14.8,1338
51,Austin ,86556,11.4,13.5,9.2,24.5,17.5,9.8,9.8,29.9,935752,62197,6.646739734459557,44.4,55.6,1549
52,Austwell ,55114,5.1,11.1,7.5,15.4,20.0,0.0,0.0,0.0,115,5,4.3478260869565215,75.4,24.6,-
53,Avery ,49485,11.0,18.2,14.9,52.8,16.4,3.2,3.2,33.3,1019,83,8.145240431795878,67.8,32.2,763
54,Avinger ,29038,29.8,23.1,26.4,17.4,33.3,15.7,15.7,95.5,467,79,16.916488222698074,72.2,27.8,800
55,Azle ,83081,8.1,14.4,11.7,12.5,20.6,8.5,8.5,51.2,13271,515,3.8806420013563407,74.5,25.5,1242
56,Bailey ,41458,30.0,13.4,24.6,52.5,12.9,0.0,0.0,100.0,249,26,10.441767068273093,68.4,31.6,1135
57,"Bailey's Prairie village, Texas",95750,11.6,5.4,10.1,36.4,26.1,3.5,3.5,0.0,763,30,3.9318479685452163,91.7,8.3,-
58,Baird ,49402,9.2,15.1,12.3,34.7,13.1,5.3,5.3,39.0,1690,152,8.994082840236686,71.5,28.5,498
59,Balch Springs ,58680,9.0,13.8,10.1,15.3,8.3,8.7,8.7,10.2,27222,1488,5.466167070751598,61.8,38.2,1166
60,Balcones Heights ,28184,38.1,50.8,39.4,20.9,52.6,40.2,40.2,59.2,2729,489,17.918651520703555,18.6,81.4,853
61,Ballinger ,54583,9.1,15.5,13.3,18.0,21.9,5.5,5.5,34.7,3374,30,0.8891523414344991,68.3,31.7,966
62,Balmorhea ,61250,27.3,33.9,23.5,0.0,3.2,93.2,93.2,-,462,51,11.03896103896104,80.6,19.4,-
63,Bandera ,32125,12.5,19.8,14.2,34.9,0.0,14.3,14.3,6.3,508,39,7.677165354330709,54.3,45.7,1071
64,Bangs ,47409,10.8,13.7,11.2,27.2,8.2,12.8,12.8,71.4,1649,52,3.1534263189812006,66.4,33.6,762
65,Bardwell ,50455,4.7,16.5,10.9,1.5,8.5,23.5,23.5,22.2,661,20,3.0257186081694405,54.2,45.8,1105
66,Barry ,64500,6.5,8.7,6.9,13.8,0.0,0.0,0.0,0.0,363,0,0.0,61.5,38.5,967
67,Barstow ,-,37.7,26.0,29.0,35.4,38.0,0.0,0.0,-,313,24,7.667731629392971,91.8,8.2,-
68,Bartlett ,51786,12.0,19.5,10.6,14.6,10.6,9.9,9.9,33.3,1418,45,3.173483779971791,76.1,23.9,747
69,Bartonville ,143333,5.0,7.2,8.8,0.0,22.6,12.7,12.7,0.0,1957,51,2.6060296371997955,91.4,8.6,1550
70,Bastrop ,59087,11.6,11.4,10.4,19.1,6.9,20.2,20.2,34.6,9381,948,10.105532459226096,54.3,45.7,1179
