Agency Name,Population1,"Total
Offenses","Crimes
Against
Persons"
Abernathy,"2,783",32,12
Abilene,"125,186","8,250","3,040"
Addison,"17,531","2,651",561
Alamo,"20,383","1,545",214
Alamo Heights,"7,412",568,41
Alba,493,17,0
Alice,"17,727","2,073",660
Alma,407,4,0
Alpine,"5,757",76,32
Alton,"19,391",577,133
Alvarado,"5,504",384,94
Alvin,"27,974","1,538",480
Amarillo,"201,572","18,482","5,996"
Andrews,"13,233",564,168
Angleton,"19,369","1,010",389
Anna,"23,541",739,146
Anthony,"3,662",324,58
Aransas Pass,"8,056",625,198
Archer City,"1,593",49,3
Arcola,"2,260",69,24
Argyle,"4,986",105,15
Arlington,"391,591","27,745","9,040"
Arp,953,30,2
Athens,"12,986",492,114
Atlanta,"5,443",186,51
Aubrey,"7,873",276,112
Austin,"965,234","74,299","19,802"
Azle,"13,615",905,207
Baird,"1,529",26,8
Balch Springs,"26,973","1,608",363
Balcones Heights,"2,709",574,91
Ballinger,"3,577",115,35
Bangs,"1,541",10,8
Bastrop,"11,101",931,243
Bay City,"17,796","1,723",433
Baytown,"81,477","6,139","1,497"
Beaumont,"110,898","11,464","3,962"
Bedford,"48,579","3,045",479
Bee Cave,"8,870",340,36
Beeville,"13,592",913,213
Bellaire,"16,783",688,52
Bellmead,"10,589",730,223
Bells,"1,557",23,11
Bellville,"4,066",169,59
Belton,"24,188","1,583",430
Benbrook,"24,739",836,172
Bertram,"1,913",35,14
Beverly Hills,"1,867",231,53
Big Sandy,"1,295",56,16
Big Spring,"25,254","1,979",685
Blanco,"1,870",95,26
Blue Mound,"2,325",95,7
Boerne,"20,488",816,159
Bogata,"1,098",37,10
Borger,"12,366",641,232
Bovina,"1,706",12,5
Bowie,"5,659",234,49
Brady,"4,998",157,39
Brazoria,"2,823",90,18
Breckenridge,"5,294",255,79
Bremond,862,18,9
Brenham,"18,785","1,007",281
Bridge City,"9,495",244,62
Bridgeport,"6,186",305,53
Brookshire,"5,739",170,68
Brownfield,"8,877",380,153
Brownsville,"188,906","10,206","3,671"
Brownwood,"18,751","1,290",364
Bruceville-Eddy,"1,428",60,9
Buda,"16,000",703,100
Buffalo,"1,812",53,10
Bullard,"4,062",77,16
Bulverde,"6,268",646,48
Burkburnett,"11,057",187,74
Burleson,"55,356","2,040",581
Burnet,"6,861",427,83
Cactus,"3,058",180,60
Caddo Mills,"3,568",67,14
Caldwell,"4,249",128,24
Calvert,965,38,8
Cameron,"5,415",132,54
Canton,"4,408",250,42
Canyon,"15,680",433,120
Carrollton,"133,610","5,592","1,014"
Carthage,"6,558",494,135
Castle Hills,"3,921",531,37
Castroville,"3,052",132,17
Cedar Hill,"48,483","1,994",345
Cedar Park,"79,353","2,724",653
Celina,"24,190",557,101
Center,"5,111",290,59
Chandler,"3,529",66,9
Childress,"5,915",163,41
China Grove,"1,128",73,2
Cibolo,"34,159","1,231",311
Cisco,"3,902",168,47
Cleburne,"32,728",985,230
Clifton,"3,526",60,21
Clute,"10,557",902,316
Clyde,"4,038",138,36
Cockrell Hill,"3,687",185,26
Coffee City,246,35,5
Coleman,"3,943",65,17
College Station,"121,618","5,535","1,089"
Colleyville,"25,897",656,71
Collinsville,"1,993",16,10
Columbus,"3,598",116,32
Comanche,"4,276",298,86
Combes,"3,071",162,36
Commerce,"8,876",485,140
Conroe,"98,623","6,056","1,465"
Converse,"29,503","1,392",273
Coppell,"42,021","1,061",165
Copperas Cove,"37,841","2,744",873
Corinth,"22,719",623,130
Corpus Christi,"317,694","29,190","8,923"
Corrigan,"1,487",80,14
Corsicana,"25,585","1,461",395
Crandall,"4,671",535,144
Crane,"3,485",68,15
Crockett,"6,428",615,86
Crowley,"20,362",824,165
Cuero,"8,271",433,125
Cuney,115,6,2
Daingerfield,"2,520",113,22
Dalhart,"8,410",211,81
Dallas,"1,286,121","107,022","28,568"
Dayton,"9,451",447,90
Decatur,"7,147",669,111
Deer Park,"33,022","1,412",234
De Leon,"2,310",63,19
Del Rio,"34,495","1,281",420
Denison,"25,828","1,182",256
Denton,"154,230","8,384","2,479"
Denver City,"4,346",80,32
DeSoto,"55,956","2,609",796
Devine,"4,483",203,31
Diboll,"4,466",190,38
Dickinson,"21,936",994,337
Dilley,"3,318",57,29
Dimmitt,"4,183",91,29
Donna,"16,842","1,046",284
Double Oak,"3,052",37,7
Driscoll,668,3,2
Dublin,"3,469",65,23
Dumas,"14,140",737,159
Duncanville,"39,474","1,902",395
Eagle Pass,"28,811","1,782",454
Early,"3,161",169,50
Eastland,"3,630",153,29
Edgewood,"1,649",2,2
Edinburg,"104,987","7,341","2,394"
Edna,"5,976",150,72
El Campo,"12,235","1,138",255
Electra,"2,286",75,30
Elgin,"11,245",416,136
Elmendorf,"2,202",68,7
El Paso,"678,232","30,156","10,028"
Elsa,"5,683",536,92
Emory,"1,359",29,4
Ennis,"22,254",899,150
Euless,"59,901","2,933",542
Everman,"5,993",204,40
Fairfield,"2,939",106,32
Fair Oaks Ranch,"11,119",439,45
Fairview,"10,917",109,10
Falfurrias,"4,754",55,37
Farmers Branch,"36,595","2,388",383
Farmersville,"4,024",126,33
Farwell,"1,383",8,1
Fate,"23,955",319,83
Ferris,"2,893",111,29
Flatonia,"1,348",36,8
Florence,"1,218",39,14
Floresville,"7,971",332,80
Flower Mound,"78,167","1,466",206
Floydada,"2,638",93,37
Forest Hill,"13,685",518,177
Forney,"31,105",951,174
Fort Stockton,"8,411",131,70
Fort Worth,"948,605","52,914","13,612"
Franklin,"1,781",34,10
Frankston,"1,117",188,24
Fredericksburg,"11,348",346,99
Freeport,"10,500",454,152
Freer,"2,454",42,28
Friendswood,"40,851","1,110",211
Friona,"4,121",58,22
Frisco,"218,962","7,099","1,343"
Fulshear,"18,058",303,40
Gainesville,"17,789","1,411",261
Galena Park,"10,240",388,109
Galveston,"52,920","3,887","1,162"
Ganado,"1,998",40,6
Garden Ridge,"4,442",164,12
Garland,"241,095","13,710","3,399"
Garrison,791,15,6
Gatesville,"17,154",429,142
Georgetown,"83,371","2,689",601
George West,"2,194",101,20
Giddings,"5,144",294,83
Gilmer,"4,997",398,104
Gladewater,"6,174",156,45
Glenn Heights,"18,398",618,184
Godley,"2,245",65,17
Gonzales,"7,089",529,131
Graham,"8,823",439,100
Granbury,"12,132","1,003",200
Grand Prairie,"199,663","9,253","1,554"
Grand Saline,"3,236",69,18
Grapeland,"1,504",18,10
Grapevine,"50,988","2,691",502
Greenville,"30,890","1,232",378
Groesbeck,"3,638",225,70
Groves,"16,682",565,169
Gun Barrel City,"6,551",112,21
Gunter,"2,449",27,2
Hallettsville,"2,762",166,44
Hallsville,"4,707",47,16
Haltom City,"45,488","1,148",250
Hamilton,"2,860",105,30
Hamlin,"1,899",74,23
Harker Heights,"34,001","1,026",272
Harlingen,"72,047","5,091","1,338"
Haskell,"3,033",42,10
Hawkins,"1,353",38,15
Hawley,575,3,2
Hearne,"4,517",140,61
Heath,"10,661",242,70
Hedwig Village,"2,295",230,15
Helotes,"9,263",355,30
Hempstead,"6,388",301,81
Hereford,"14,626",688,178
Hewitt,"16,291",727,170
Hickory Creek,"5,786",205,21
Hico,"1,360",0,0
Hidalgo,"14,468",402,111
Highland Park,"8,732",316,20
Highland Village,"15,988",419,104
Hill Country Village,939,59,2
Hillsboro,"8,407",397,116
Hitchcock,"7,502",503,184
Hollywood Park,"3,091",164,10
Hondo,"8,522",475,127
Honey Grove,"1,789",47,17
Hooks,"2,510",78,21
Horizon City,"23,726",605,168
Horseshoe Bay,"4,693",129,28
Houston,"2,276,533","228,657","67,409"
