,City,Median_Household_Income,Percent_Male,Percent_Female,Percent_over_25y,Percent_HS_less,Percent_HS,Percent_Some_Col_Assoc,Percent_BS_over,Percent_unemployed,Poverty_Rate,Percent_Owner_Occ,Percent_Renter_Occ,Median_Rent,Population1,"Total
Offenses",Crime Rate
0,Abernathy,80114,4.2,8.2,6.6,11.3,6.2,3.9,3.9,0.0,0.9213759213759214,77.0,23.0,709,2783,32,4.311893639956881
1,Abilene,59254,14.1,17.6,12.3,31.2,16.7,9.3,9.3,20.6,7.19211908778616,54.0,46.0,1060,125186,8250,24.283865607975333
2,Addison,78153,7.9,8.8,6.6,14.6,9.9,6.6,6.6,43.5,4.091845746246689,17.3,82.7,1620,17531,2651,32.00045633449319
3,Alamo,47398,20.7,27.3,22.4,35.1,21.6,13.1,13.1,36.5,8.867219078415522,71.2,28.8,655,20383,1545,10.498945199430898
4,Alamo Heights,149332,3.4,3.4,3.9,0.0,8.1,10.8,10.8,0.0,2.1021021021021022,73.6,26.4,1390,7412,568,5.531570426335672
5,Alba,45313,19.2,4.9,14.5,43.1,6.0,2.6,2.6,0.0,7.063197026022305,84.3,15.7,561,493,17,0.0
6,Alice,43017,19.5,35.0,19.7,35.3,16.9,14.4,14.4,50.6,14.742461241410645,55.1,44.9,860,17727,2073,37.23134202064647
7,Alma,83333,1.2,8.0,1.6,6.4,2.2,0.0,0.0,0.0,1.279317697228145,90.7,9.3,794,407,4,0.0
8,Alpine,46619,19.2,21.4,18.1,27.1,24.2,10.3,10.3,92.4,10.02069679199724,58.4,41.6,780,5757,76,5.558450581900296
9,Alton,44317,26.2,30.0,22.8,30.0,27.2,13.9,13.9,38.0,12.427604871447905,61.0,39.0,891,19391,577,6.858852044763035
10,Alvarado,86083,5.1,10.7,8.8,10.3,10.2,5.4,5.4,100.0,3.925956061838894,62.7,37.3,992,5504,384,17.078488372093023
11,Alvin,68266,8.8,11.9,9.7,20.6,11.6,7.6,7.6,10.4,4.666127371672305,57.0,43.0,1165,27974,1538,17.15879030528348
12,Amarillo,60628,14.2,16.9,12.4,25.2,15.8,10.5,10.5,25.5,6.294676412871851,59.6,40.4,997,201572,18482,29.74619490802294
13,Andrews,86806,12.3,14.3,11.9,26.8,10.5,9.6,9.6,19.6,9.137017411052232,69.8,30.2,1415,13233,564,12.695533892541373
14,Angleton,77235,10.0,13.8,7.5,13.7,10.2,4.2,4.2,16.4,6.2642487046632125,64.5,35.5,1090,19369,1010,20.083638804274873
15,Anna,93785,11.0,6.9,8.4,29.8,20.4,2.3,2.3,0.0,7.312348668280872,80.1,19.9,1888,23541,739,6.201945541820653
16,Anthony,48934,14.9,23.5,15.4,24.3,23.0,6.6,6.6,35.7,8.265547100498557,74.5,25.5,983,3662,324,15.838339705079193
17,Aransas Pass,59403,13.0,15.3,13.8,31.4,9.9,14.4,14.4,22.6,8.339148639218424,63.1,36.9,1142,8056,625,24.577954319761666
18,Archer City,40714,25.3,24.0,15.9,38.7,10.6,26.2,26.2,-,15.916722632639354,70.9,29.1,499,1593,49,1.8832391713747645
19,Arcola,74268,9.4,10.5,12.3,19.1,7.3,18.2,18.2,43.4,5.145929339477727,67.0,33.0,1155,2260,69,10.619469026548673
20,Argyle,205246,0.0,0.5,0.3,0.0,0.0,1.9,1.9,0.0,0.0,86.7,13.3,2520,4986,105,3.0084235860409145
21,Arlington,71736,12.0,13.9,9.9,20.1,11.5,8.3,8.3,21.7,5.556890063255665,54.9,45.1,1297,391591,27745,23.085310949434486
22,Arp,63472,5.1,8.3,5.9,18.5,4.1,3.6,3.6,0.0,3.8771031455742504,72.3,27.7,1125,953,30,2.0986358866736623
23,Athens,54828,18.9,15.2,11.9,34.2,9.8,9.3,9.3,35.4,4.9800627810299485,55.7,44.3,1063,12986,492,8.778684737409517
24,Atlanta,62215,25.0,25.9,18.5,54.0,23.0,11.1,11.1,25.8,9.016859253646524,65.5,34.5,909,5443,186,9.369832812787067
25,Aubrey,93071,4.2,21.1,8.8,30.3,18.8,7.3,7.3,44.0,7.293080054274085,76.4,23.6,1275,7873,276,14.225835132732122
26,Austin,86556,11.4,13.5,9.2,24.5,17.5,9.8,9.8,29.9,6.646739734459557,44.4,55.6,1549,965234,74299,20.51523257572775
27,Azle,83081,8.1,14.4,11.7,12.5,20.6,8.5,8.5,51.2,3.8806420013563407,74.5,25.5,1242,13615,905,15.203819316929856
28,Baird,49402,9.2,15.1,12.3,34.7,13.1,5.3,5.3,39.0,8.994082840236686,71.5,28.5,498,1529,26,5.232177894048398
29,Balch Springs,58680,9.0,13.8,10.1,15.3,8.3,8.7,8.7,10.2,5.466167070751598,61.8,38.2,1166,26973,1608,13.457902346791235
30,Balcones Heights,28184,38.1,50.8,39.4,20.9,52.6,40.2,40.2,59.2,17.918651520703555,18.6,81.4,853,2709,574,33.59173126614987
31,Ballinger,54583,9.1,15.5,13.3,18.0,21.9,5.5,5.5,34.7,0.8891523414344991,68.3,31.7,966,3577,115,9.784735812133071
32,Bangs,47409,10.8,13.7,11.2,27.2,8.2,12.8,12.8,71.4,3.1534263189812006,66.4,33.6,762,1541,10,5.1914341336794285
33,Bastrop,59087,11.6,11.4,10.4,19.1,6.9,20.2,20.2,34.6,10.105532459226096,54.3,45.7,1179,11101,931,21.889919827042608
34,Bay City,50212,25.8,31.1,23.7,36.6,24.9,21.6,21.6,43.6,18.36269311897839,54.1,45.9,993,17796,1723,24.331310406832998
35,Baytown,61158,14.5,20.4,13.9,18.5,16.2,12.1,12.1,35.3,8.206603480793563,53.6,46.4,1207,81477,6139,18.37328325785191
36,Beaumont,53745,18.3,22.4,15.7,27.1,22.5,12.7,12.7,22.7,9.669625599541842,54.4,45.6,992,110898,11464,35.72652347201934
37,Bedford,80924,6.1,7.4,6.1,15.8,6.9,6.7,6.7,14.0,2.566879892092947,53.4,46.6,1332,48579,3045,9.860227670392556
38,Bee Cave,104949,1.6,5.6,4.0,2.9,5.5,2.1,2.1,43.4,3.1432163675848668,52.8,47.2,1787,8870,340,4.058624577226606
39,Beeville,47815,20.6,32.8,22.2,48.4,25.2,14.7,14.7,30.3,13.48753379393211,56.3,43.7,986,13592,913,15.670982931135963
40,Bellaire,215636,2.1,2.3,2.4,5.1,5.4,1.4,1.4,8.2,1.441914769410391,87.4,12.6,2423,16783,688,3.098373353989156
41,Bellmead,51474,23.6,20.3,16.1,27.2,14.3,15.2,15.2,60.2,7.72034142131006,56.4,43.6,939,10589,730,21.05959014071206
42,Bells,75625,12.3,19.5,15.8,30.8,25.3,7.3,7.3,69.2,9.26016658500735,71.6,28.4,848,1557,23,7.064868336544637
43,Bellville,61500,5.9,9.4,9.3,30.4,3.6,14.3,14.3,-,3.296432964329643,65.2,34.8,871,4066,169,14.510575504181013
